auction_id,asset_Broker Commission Available_label,asset_Newly Listed_label,asset_No Buyer's Premium_label,asset_address_content_1,asset_address_content_2,asset_auction_date,asset_auction_type,asset_baths,asset_beds,asset_image,asset_save_label,asset_sqft,auction_end_date,city,county,label_after_repair_value,label_after_repair_value_value,label_reserve,label_reserve_value,label_starting_bid,label_starting_bid_value,state,zipcode
2657304,,,No Buyer's Premium,2977 MIRALOMA WAY,"UNION CITY, CA 94587, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",3,4,,Save,"2,357",,,,Est. Resale Value:,"$1,224,000",Est. Credit Bid:,–,Opening Bid:,"$770,000",,
1339048,,,No Buyer's Premium,39773 COSTA WAY,"FREMONT, CA 94538, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",2,4,,Save,"1,734",,,,Est. Resale Value:,"$1,040,000",Est. Credit Bid:,–,Opening Bid:,"$265,000",,
1985147,,,No Buyer's Premium,710 MARINERS ISLAND BLVD #108,"SAN MATEO, CA 94404, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",1,–,HOT,Save,519,,,,Est. Resale Value:,"$706,000",Est. Credit Bid:,–,Opening Bid:,"$210,000",,
1398414,,,No Buyer's Premium,40835 LINCOLN STREET,"FREMONT, CA 94538, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",6,12,HOT,Save,"4,548",,,,Est. Resale Value:,"$2,257,000",Est. Credit Bid:,–,Opening Bid:,"$1,400,000",,
1425748,,,No Buyer's Premium,1303 COBB STREET,"SAN MATEO, CA 94401, San Mateo County","Nov 13, 1:00pm","Foreclosure Sale, In Person",1,3,HOT,Save,"1,000",,,,Est. Resale Value:,"$1,155,000",Est. Credit Bid:,–,Opening Bid:,"$690,000",,
2769889,,,No Buyer's Premium,2552 AMETHYST DR,"SANTA CLARA, CA 95051, Santa Clara County","Oct 02, 9:00am","Foreclosure Sale, In Person",2,4,HOT,Save,"1,715",,,,Est. Resale Value:,"$1,605,000",Est. Credit Bid:,–,Opening Bid:,"$230,000",,
2712584,,,No Buyer's Premium,27360 MARIGOLD COURT,"HAYWARD, CA 94545, Alameda County","Nov 21, 9:00am","Foreclosure Sale, In Person",1,3,,Save,"1,440",,,,Est. Resale Value:,"$595,000",Est. Credit Bid:,–,Opening Bid:,"$360,000",,
2824490,,,No Buyer's Premium,1257 GEORGE CIRCLE,"HAYWARD, CA 94541, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",3,3,,Save,"1,982",,,,Est. Resale Value:,"$901,000",Est. Credit Bid:,–,Opening Bid:,–,,
2765372,,,No Buyer's Premium,1489 VIA MESA,"SAN LORENZO, CA 94580, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",1,3,,Save,"1,451",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$460,000",,
2687112,,,No Buyer's Premium,19764 WAVERLY AVE,"HAYWARD, CA 94541, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",1,3,HOT,Save,"1,182",,,,Est. Resale Value:,"$687,000",Est. Credit Bid:,–,Opening Bid:,"$150,000",,
2571789,,,No Buyer's Premium,3795 ARBUTUS COURT,"HAYWARD, CA 94542, Alameda County","Nov 21, 9:00am","Foreclosure Sale, In Person",6.5,5,,Save,"9,511",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$1,100,000",,
2787080,,,No Buyer's Premium,4006 TEALE AVENUE,"SAN JOSE, CA 95117, Santa Clara County","Dec 11, 9:00am","Foreclosure Sale, In Person",2,4,HOT,Save,"1,769",,,,Est. Resale Value:,"$1,505,000",Est. Credit Bid:,–,Opening Bid:,"$320,000",,
2827312,,,No Buyer's Premium,1366 TROJAN AVENUE,"SAN LEANDRO, CA 94579, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",1,3,,Save,"1,241",,,,Est. Resale Value:,"$777,000",Est. Credit Bid:,–,Opening Bid:,–,,
2799446,,,No Buyer's Premium,22558 6TH ST,"HAYWARD, CA 94541, Alameda County","Sep 25, Time TBD","Foreclosure Sale, In Person",1.5,3,,Save,"1,849",,,,Est. Resale Value:,"$800,000",Est. Credit Bid:,–,Opening Bid:,–,,
2814507,,,No Buyer's Premium,520 UNIVERSITY AVE,"SAN JOSE, CA 95110, Santa Clara County","Oct 07, Time TBD","Foreclosure Sale, In Person",1,2,,Save,744,,,,Est. Resale Value:,"$979,000",Est. Credit Bid:,–,Opening Bid:,–,,
2835667,,,No Buyer's Premium,24780 FAIRVIEW AVE,"HAYWARD, CA 94542, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",1,2,,Save,808,,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$260,000",,
2770278,,,No Buyer's Premium,13338 FONTAINE DRIVE,"SARATOGA, CA 95070, Santa Clara County","Oct 16, 9:00am","Foreclosure Sale, In Person",1,3,HOT,Saved,"1,246",,,,Est. Resale Value:,"$2,384,000",Est. Credit Bid:,–,Opening Bid:,"$500,000",,
2807549,,,No Buyer's Premium,4205 STAR RIDGE RD,"HAYWARD, CA 94542, Alameda County","Oct 11, 12:00pm","Foreclosure Sale, In Person",3,4,,Save,"2,218",,,,Est. Resale Value:,"$1,256,000",Est. Credit Bid:,–,Opening Bid:,–,,
2786493,,,No Buyer's Premium,433 ARLETA AVE,"SAN JOSE, CA 95128, Santa Clara County","Oct 02, 9:00am","Foreclosure Sale, In Person",2,3,,Save,"1,436",,,,Est. Resale Value:,"$1,133,000",Est. Credit Bid:,–,Opening Bid:,"$85,000",,
2756210,,,No Buyer's Premium,2081 MCKENZIE PLACE,"SAN JOSE, CA 95131, Santa Clara County","Oct 16, 9:00am","Foreclosure Sale, In Person",2.5,3,HOT,Save,"1,929",,,,Est. Resale Value:,"$1,398,000",Est. Credit Bid:,–,Opening Bid:,"$840,000",,
2805953,,,No Buyer's Premium,2312 BELVEDERE AVE,"SAN LEANDRO, CA 94577, Alameda County","Oct 01, Time TBD","Foreclosure Sale, In Person",1.5,3,,Save,"1,364",,,,Est. Resale Value:,"$555,000",Est. Credit Bid:,–,Opening Bid:,–,,
2813021,,,No Buyer's Premium,1679 VALLEY CREST COURT,"SAN JOSE, CA 95131, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2.5,4,HOT,Save,"1,802",,,,Est. Resale Value:,"$1,432,000",Est. Credit Bid:,–,Opening Bid:,"$720,000",,
1409629,,,No Buyer's Premium,2644 TROUSDALE DRIVE,"BURLINGAME, CA 94010, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",2,3,HOT,Save,"1,690",,,,Est. Resale Value:,"$2,477,000",Est. Credit Bid:,–,Opening Bid:,"$1,250,000",,
2837128,,Newly Listed,No Buyer's Premium,22523 NORTHVIEW DRIVE,"HAYWARD, CA 94541, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2,3,,Save,"1,284",,,,Est. Resale Value:,"$788,000",Est. Credit Bid:,–,Opening Bid:,–,,
2818548,,,No Buyer's Premium,3166 ISADORA DRIVE,"SAN JOSE, CA 95132, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2,4,HOT,Save,"1,778",,,,Est. Resale Value:,"$1,262,000",Est. Credit Bid:,–,Opening Bid:,"$650,000",,
2652757,,,No Buyer's Premium,16365 SARATOGA AVE #203E AKA16365 SARATOGA ST 203E,"SAN LEANDRO, CA 94578, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",1.5,2,HOT,Save,"1,022",,,,Est. Resale Value:,"$487,000",Est. Credit Bid:,–,Opening Bid:,"$275,000",,
2786799,,,No Buyer's Premium,1719 OLD PIEDMONT ROAD,"SAN JOSE, CA 95132, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2,3,HOT,Save,"1,577",,,,Est. Resale Value:,"$1,311,000",Est. Credit Bid:,–,Opening Bid:,"$620,000",,
2783330,,,No Buyer's Premium,19928 CENTER ST,"CASTRO VALLEY, CA 94546, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",2,4,HOT,Save,"2,352",,,,Est. Resale Value:,"$1,100,000",Est. Credit Bid:,–,Opening Bid:,"$630,000",,
2493405,,,No Buyer's Premium,1387 AND 1389 145TH AVENUE,"SAN LEANDRO, CA 94578, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",4,4,,Save,"2,176",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$90,000",,
1418101,,,No Buyer's Premium,1028 WILSHAM DRIVE,"SAN JOSE, CA 95132, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2,4,HOT,Save,"1,580",,,,Est. Resale Value:,"$1,387,000",Est. Credit Bid:,–,Opening Bid:,–,,
1408271,,,No Buyer's Premium,445 MIRADA RD,"HALF MOON BAY, CA 94019, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",4,4,,Save,"2,450",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$1,950,000",,
2829022,,,No Buyer's Premium,1966 MERIDIAN AVENUE,"SAN JOSE, CA 95125, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2,3,HOT,Save,"1,953",,,,Est. Resale Value:,"$1,556,000",Est. Credit Bid:,–,Opening Bid:,"$780,000",,
2823038,,,No Buyer's Premium,1573 HILL AVE,"SAN JOSE, CA 95125, Santa Clara County","Oct 30, 9:00am","Foreclosure Sale, In Person",1,2,HOT,Save,"1,300",,,,Est. Resale Value:,"$1,349,000",Est. Credit Bid:,–,Opening Bid:,"$245,000",,
2756211,,,No Buyer's Premium,1232 SHERMAN ST,"SAN JOSE, CA 95110, Santa Clara County","Oct 30, 9:00am","Foreclosure Sale, In Person",1,2,,Save,"1,188",,,,Est. Resale Value:,"$895,000",Est. Credit Bid:,–,Opening Bid:,"$355,000",,
2805990,,,No Buyer's Premium,2410 MADDEN TER,"SAN JOSE, CA 95116, Santa Clara County","Sep 11, Time TBD","Foreclosure Sale, In Person",2,2,,Save,"1,118",,,,Est. Resale Value:,"$719,000",Est. Credit Bid:,–,Opening Bid:,–,,
2805899,,,No Buyer's Premium,7872 PINEVILLE CIR,"CASTRO VALLEY, CA 94552, Alameda County","Sep 05, 12:00pm","Foreclosure Sale, In Person",2.5,4,HOT,Save,"2,340",,,,Est. Resale Value:,"$1,096,000",Est. Credit Bid:,–,Opening Bid:,–,,
2778042,,,No Buyer's Premium,9915 BERNHARDT DRIVE,"OAKLAND, CA 94603, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",2.5,3,,Save,"1,880",,,,Est. Resale Value:,"$719,000",Est. Credit Bid:,–,Opening Bid:,"$395,000",,
2499464,,,No Buyer's Premium,8202 REGENCY DR,"PLEASANTON, CA 94588, Alameda County","Dec 19, 9:00am","Foreclosure Sale, In Person",3.5,4,,Save,"4,073",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$660,000",,
2670200,,,No Buyer's Premium,2380 109TH AVENUE,"OAKLAND, CA 94603, Alameda County","Oct 10, 9:00am","Foreclosure Sale, In Person",1,2,,Save,"1,008",,,,Est. Resale Value:,"$619,000",Est. Credit Bid:,–,Opening Bid:,"$95,000",,
2785252,,,No Buyer's Premium,2229 108TH AVENUE,"OAKLAND, CA 94603, Alameda County","Nov 21, 9:00am","Foreclosure Sale, In Person",2,3,HOT,Save,"1,222",,,,Est. Resale Value:,"$719,000",Est. Credit Bid:,–,Opening Bid:,"$365,000",,
2675939,,,No Buyer's Premium,10449 LONGFELLOW AVENUE,"OAKLAND, CA 94603, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",1,2,HOT,Save,914,,,,Est. Resale Value:,"$567,000",Est. Credit Bid:,–,Opening Bid:,"$120,000",,
2837068,,,No Buyer's Premium,10314 SUNNYSIDE STREET,"OAKLAND, CA 94603, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",1,2,,Save,839,,,,Est. Resale Value:,"$481,000",Est. Credit Bid:,–,Opening Bid:,–,,
2834874,,Newly Listed,No Buyer's Premium,9613 ARMSTRONG DR,"OAKLAND, CA 94603, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2.5,3,,Save,"1,414",,,,Est. Resale Value:,"$660,000",Est. Credit Bid:,–,Opening Bid:,"$460,000",,
2805833,,,No Buyer's Premium,2650 THRASHER LN,"SAN JOSE, CA 95125, Santa Clara County","Sep 11, Time TBD","Foreclosure Sale, In Person",2,3,,Save,"1,523",,,,Est. Resale Value:,"$1,526,000",Est. Credit Bid:,–,Opening Bid:,–,,
1400466,Broker Commission Available,,,5719 DIMAS COURT,"PLEASANTON, CA 94566, Alameda County",Sep 9 - 11,"Bank Owned, Online",5.5,4,,Saved,"4,959",,,,Est. Resale Value:,"$3,240,000",Reserve:,–,Opening Bid:,"$1,027,500",,
2791151,,,No Buyer's Premium,1574 WILLOWMONT AVE,"SAN JOSE, CA 95118, Santa Clara County","Sep 13, 10:00am","Foreclosure Sale, In Person",1.5,3,,Save,"1,600",,,,Est. Resale Value:,"$1,520,000",Est. Credit Bid:,–,Opening Bid:,–,,
1434307,,,No Buyer's Premium,831 BREVINS LOOP,"SAN JOSE, CA 95125, Santa Clara County","Dec 11, 9:00am","Foreclosure Sale, In Person",2.5,5,,Save,"2,654",,,,Est. Resale Value:,"$1,614,000",Est. Credit Bid:,–,Opening Bid:,"$900,000",,
2608580,,,No Buyer's Premium,124 RANDOLPH AVE,"SOUTH SAN FRANCISCO, CA 94080, San Mateo County","Oct 16, 1:00pm","Foreclosure Sale, In Person",1,2,,Save,880,,,,Est. Resale Value:,"$840,000",Est. Credit Bid:,–,Opening Bid:,"$80,000",,
2761969,,,No Buyer's Premium,51 ELYSIAN FIELDS DR,"OAKLAND, CA 94605, Alameda County","Oct 02, 12:00pm","Foreclosure Sale, In Person",2,3,HOT,Save,"1,867",,,,Est. Resale Value:,"$1,029,000",Est. Credit Bid:,–,Opening Bid:,–,,
2822988,,,No Buyer's Premium,487 ALHAMBRA ROAD,"SOUTH SAN FRANCISCO, CA 94080, San Mateo County","Oct 30, 1:00pm","Foreclosure Sale, In Person",1,3,HOT,Save,"1,160",,,,Est. Resale Value:,"$1,281,000",Est. Credit Bid:,–,Opening Bid:,"$570,000",,
2830622,,,No Buyer's Premium,126 TRENTON CIR,"PLEASANTON, CA 94566, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",2.5,4,,Save,"1,620",,,,Est. Resale Value:,"$1,157,000",Est. Credit Bid:,–,Opening Bid:,"$430,000",,
2785402,,,No Buyer's Premium,1016 SUMMERFIELD DR,"SAN JOSE, CA 95121, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",2,4,,Save,"1,481",,,,Est. Resale Value:,"$874,000",Est. Credit Bid:,–,Opening Bid:,"$200,000",,
2502895,,,No Buyer's Premium,2798 PLUMAS DRIVE,"SAN JOSE, CA 95121, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",2,4,HOT,Save,"1,618",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$560,000",,
2820523,,,No Buyer's Premium,2637 74TH AVENUE,"Oakland, CA 94605, Alameda County",Sep 3 - 5,"Bank Owned, Online",1,2,,Saved,748,,,,Est. Resale Value:,"$578,000",Reserve:,–,Opening Bid:,"$150,000",,
2822014,,,No Buyer's Premium,1230 50TH AVENUE,"OAKLAND, CA 94601, Alameda County","Oct 24, 9:00am","Foreclosure Sale, In Person",1,2,,Save,595,,,,Est. Resale Value:,"$428,000",Est. Credit Bid:,–,Opening Bid:,–,,
2814522,,,No Buyer's Premium,5910 BRUCE DR,"PLEASANTON, CA 94588, Contra Costa County","Oct 30, Time TBD","Foreclosure Sale, In Person",4,4,,Save,"4,468",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,–,,
2837869,,Newly Listed,No Buyer's Premium,6702 SOUTH MARIPOSA LANE,"DUBLIN, CA 94568, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2.5,3,,Save,"1,727",,,,Est. Resale Value:,"$905,000",Est. Credit Bid:,–,Opening Bid:,–,,
2652376,,,No Buyer's Premium,2778 SCOTTSDALE DRIVE,"SAN JOSE, CA 95148, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2,3,,Save,"1,320",,,,Est. Resale Value:,"$836,000",Est. Credit Bid:,–,Opening Bid:,"$610,000",,
2824104,,,No Buyer's Premium,6625 HILLMONT DR,"OAKLAND, CA 94605, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",1.5,1,HOT,Save,957,,,,Est. Resale Value:,"$710,000",Est. Credit Bid:,–,Opening Bid:,"$200,000",,
1399225,,,No Buyer's Premium,818 SYLVANDALE AVE,"SAN JOSE, CA 95111, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",2,4,,Save,"1,220",,,,Est. Resale Value:,"$648,000",Est. Credit Bid:,–,Opening Bid:,"$570,000",,
2765410,,,No Buyer's Premium,659 CLARIDGE DRIVE,"PACIFICA, CA 94044, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",2,3,HOT,Save,"1,450",,,,Est. Resale Value:,"$1,189,000",Est. Credit Bid:,–,Opening Bid:,"$360,000",,
2689164,,,No Buyer's Premium,132 ALBATROSS COURT #15,"SAN FRANCISCO, CA 94124, San Francisco County","Sep 11, 9:00am","Foreclosure Sale, In Person",3,3,HOT,Save,"1,360",,,,Est. Resale Value:,–,Est. Credit Bid:,–,Opening Bid:,"$32,500",,
2731715,,,No Buyer's Premium,3305 HUDSON CRT,"PLEASANTON, CA 94588, Alameda County","Oct 21, 10:00am","Foreclosure Sale, In Person",–,4,HOT,Save,"2,023",,,,Est. Resale Value:,"$1,322,000",Est. Credit Bid:,–,Opening Bid:,–,,
2758491,,,No Buyer's Premium,4484 TULIP AVENUE,"OAKLAND, CA 94619, Alameda County","Sep 26, 9:00am","Foreclosure Sale, In Person",2,2,,Save,"1,764",,,,Est. Resale Value:,"$1,013,000",Est. Credit Bid:,–,Opening Bid:,"$600,000",,
2836959,,,No Buyer's Premium,3652 SLOPEVIEW DR,"SAN JOSE, CA 95148, Santa Clara County","Sep 18, Time TBD","Foreclosure Sale, In Person",2.5,4,,Save,"2,124",,,,Est. Resale Value:,"$1,505,000",Est. Credit Bid:,–,Opening Bid:,–,,
1362593,,,No Buyer's Premium,3786 DUNMORE LANE,"DUBLIN, CA 94568, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",2.5,3,,Save,"2,112",,,,Est. Resale Value:,"$877,000",Est. Credit Bid:,–,Opening Bid:,"$600,000",,
1278425,,,No Buyer's Premium,140 CARMEL AVENUE,"PACIFICA, CA 94044, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",1,2,HOT,Save,"1,080",,,,Est. Resale Value:,"$1,145,000",Est. Credit Bid:,–,Opening Bid:,"$295,000",,
1392803,Broker Commission Available,,,3336 MONTEVIDEO DRIVE,"SAN RAMON, CA 94583, Contra Costa County",Sep 9 - 11,"Bank Owned, Online",2,3,,Saved,"1,500",,,,Est. Resale Value:,"$834,000",Reserve:,–,Opening Bid:,"$420,000",,
1439334,,,No Buyer's Premium,29 KINGWOOD ROAD,"OAKLAND, CA 94619, Alameda County","Sep 12, 9:00am","Foreclosure Sale, In Person",2.5,4,HOT,Save,"2,009",,,,Est. Resale Value:,"$1,302,000",Est. Credit Bid:,–,Opening Bid:,"$710,000",,
2805944,,,No Buyer's Premium,204 COMPTON CIR APT C,"SAN RAMON, CA 94583, Contra Costa County","Sep 11, 1:30pm","Foreclosure Sale, In Person",2,2,HOT,Save,995,,,,Est. Resale Value:,"$604,000",Est. Credit Bid:,–,Opening Bid:,–,,
2831187,,,No Buyer's Premium,1782 REVERE AVENUE,"SAN FRANCISCO, CA 94124, San Francisco County","Sep 11, 9:00am","Foreclosure Sale, In Person",1,2,HOT,Save,"1,075",,,,Est. Resale Value:,"$1,194,000",Est. Credit Bid:,–,Opening Bid:,"$215,000",,
2809502,,,No Buyer's Premium,5554 SPINNAKER DRIVE #4,"SAN JOSE, CA 95123, Santa Clara County","Nov 13, 9:00am","Foreclosure Sale, In Person",1,2,HOT,Save,798,,,,Est. Resale Value:,"$516,000",Est. Credit Bid:,–,Opening Bid:,"$2,500",,
2556353,,,No Buyer's Premium,121 PARADISE DRIVE,"PACIFICA, CA 94044, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",1,3,HOT,Save,"1,110",,,,Est. Resale Value:,"$1,146,000",Est. Credit Bid:,–,Opening Bid:,"$13,605.32",,
2677113,,,No Buyer's Premium,73 TERESA STREET,"DALY CITY, CA 94014, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",1.5,3,,Save,"1,350",,,,Est. Resale Value:,"$927,000",Est. Credit Bid:,–,Opening Bid:,"$145,000",,
2702801,,,No Buyer's Premium,5893 EMBEE DRIVE,"SAN JOSE, CA 95123, Santa Clara County","Sep 18, 9:00am","Foreclosure Sale, In Person",2,4,,Save,"2,008",,,,Est. Resale Value:,"$1,116,000",Est. Credit Bid:,–,Opening Bid:,"$400,000",,
2705831,,,No Buyer's Premium,40 ACTON ST,"DALY CITY, CA 94014, San Mateo County","Sep 18, 1:00pm","Foreclosure Sale, In Person",1,2,HOT,Save,"1,040",,,,Est. Resale Value:,"$996,000",Est. Credit Bid:,–,Opening Bid:,"$570,000",,
2824500,,,No Buyer's Premium,89 MUIRWOOD DR,"DALY CITY, CA 94014, San Mateo County","Oct 30, 1:00pm","Foreclosure Sale, In Person",2,3,HOT,Save,"1,340",,,,Est. Resale Value:,"$1,032,000",Est. Credit Bid:,–,Opening Bid:,"$580,000",,
2734901,,,No Buyer's Premium,30 ROCKRIDGE AVENUE,"DALY CITY, CA 94015, San Mateo County","Oct 02, 1:00pm","Foreclosure Sale, In Person",2,3,,Save,"1,160",,,,Est. Resale Value:,"$1,031,000",Est. Credit Bid:,–,Opening Bid:,"$165,000",,
